Artist,Track,Album,Album_type,Duration_min,Title,Channel,Views,Likes,Comments,Licensed,official_video,Stream,EnergyLiveness,most_playedon
Soundgarden,Hunted Down,Telephantasm (Deluxe Edition),compilation,2.672883333,Soundgarden - Hunted Down,Sub Pop,395240,5426,306,TRUE,TRUE,5811494,3.186046512,Spotify
Flowdan,Rumble,Rumble,single,2.44285,"Skrillex, Fred again.. & Flowdan - Rumble [Official Audio]",Skrillex,2055815,93186,5212,TRUE,TRUE,24196937,13.97993311,Spotify
Flowdan,Gassed Up,Gassed Up,single,3.971433333,Zeds Dead x Subtronics - Gassed Up (feat. Flowdan),Subtronics,1177174,25490,526,TRUE,TRUE,10301715,3.167202572,Spotify
Flowdan,Trenches,Trenches,single,2.828566667,Duke & Jones Ft. Flowdan - Trenches (Official Lyric Video),Duke & Jones,100537,1248,44,FALSE,TRUE,2798401,6.582089552,Spotify
Flowdan,Welcome to London - J.Sparrow Remix,Welcome to London (J.Sparrow Remix),single,4.414483333,Welcome to London (J.Sparrow Remix),Flowdan - Topic,69922,1583,0,TRUE,TRUE,1323431,1.821782178,Spotify
Flowdan,Power,Power,single,3.366716667,Millbrook - Power (ft. Flowdan),Millbrook,35574,1028,26,FALSE,TRUE,799547,14.49455677,Spotify
Flowdan,Active,DNA,album,4.574716667,The Bug - 'Pressure (feat. Flowdan)' (Official Video),Ninja Tune,190574,5867,211,TRUE,TRUE,1021026,9.435643564,Spotify
Flowdan,Welcome to London,Full Metal Jacket,album,3.955533333,Flowdan - Welcome To London,Tru Thoughts Records,329419,8065,217,FALSE,FALSE,1257933,5.156862745,Spotify
Flowdan,Run The Show,Run The Show,single,3.724133333,Freaks & Geeks - Run The Show ft. Flowdan,Elevate Records,4025,167,19,TRUE,TRUE,132920,8.087774295,Spotify
Flowdan,Flatline,Disaster Piece,album,2.246,Flowdan - Flatline,Deeper Steps Music,71597,1184,22,FALSE,FALSE,827994,2.32,Spotify
Flowdan,Come From,No Celebrations EP,single,2.7,Flowdan & Abstrakt Sonance | Come From,Spentshell,3711,90,4,FALSE,FALSE,0,5.387387387,Youtube
DJ Alex,TU AMOR | E7,TU AMOR | E7,single,2.561083333,"TU AMOR - LA JOAQUI, DJ ALEX | E7 (Video Oficial)",DJ ALEX,43542087,237792,2897,FALSE,TRUE,32737657,1.564841499,Youtube
DJ Alex,Traidora,Traidora,single,2.266666667,LA JOAQUI | DJ ALEX - TRAIDORA (Video Oficial),Edit Music Leo,379815,3485,31,FALSE,FALSE,4854283,0.968,Spotify
